Year,Name,First Name,Last Name,Position,Height (Inches),Weight (Pounds),Forty Yard Dash (Seconds),Vertical Leap (Inches),Broad Jump (Inches),Round,Pick,College
1999,Troy Smith,Troy,Smith,WR,73,194,4.64,35.5,113,6,201,East Carolina
1999,Cameron Spikes,Cameron,Spikes,OG,75,314,5,32.5,117,5,145,Texas A&M
1999,Marcus Spriggs,Marcus,Spriggs,DT,77,297,5.24,27.5,99,6,174,Troy
1999,Gary Stills,Gary,Stills,OLB,74,238,4.75,31.5,116,3,75,West Virginia
1999,Matt Stinchcomb,Matt,Stinchcomb,OT,78,306,5.12,29,105,1,18,Georgia
1999,Brandon Stokley,Brandon,Stokley,WR,73,197,4.49,35.5,118,4,105,Louisiana-Lafayette
1999,Tai Streets,Tai,Streets,WR,74,194,4.48,37,129,6,171,Michigan
1999,Justin Swift,Justin,Swift,TE,76,258,4.81,33,111,7,238,Kansas State
1999,John Tait,John,Tait,OT,78,310,5.24,29.5,107,1,14,Brigham Young
1999,Ty Talton,Ty,Talton,CB,73,202,4.61,39,123,5,137,Northern Iowa
1999,Chris Terry,Chris,Terry,OT,77,291,5.07,31,108,2,34,Georgia
1999,Eric Thigpen,Eric,Thigpen,FS,73,198,4.72,35,115,6,200,Iowa
1999,Randy Thomas,Randy,Thomas,OG,76,306,5,31,107,2,57,Mississippi State
1999,John Thornton,John,Thornton,DT,75,299,5,32,111,2,52,West Virginia
1999,Rex Tucker,Rex,Tucker,OT,77,303,5.23,30,106,3,66,Texas A&M
1999,Jerame Tuman,Jerame,Tuman,TE,76,248,4.85,33,113,5,136,Michigan
1999,Fred Vinson,Fred,Vinson,CB,71,177,4.39,36,121,2,47,Vanderbilt
1999,Brad Ware,Brad,Ware,FS,74,207,4.55,37,118,4,114,Auburn
1999,Marcus Washington,Marcus,Washington,FS,74,219,4.54,37,117,6,180,Colorado
1999,Chris Watson,Chris,Watson,CB,73,191,4.34,37,124,3,67,Eastern Illinois
1999,Andre Weathers,Andre,Weathers,CB,73,189,4.65,32,119,6,205,Michigan
1999,Jed Weaver,Jed,Weaver,TE,76,246,4.93,31,106,7,208,Oregon
1999,Floyd Wedderburn,Floyd,Wedderburn,OT,77,334,5.51,24.5,86,5,140,Penn State
1999,John Welbourn,John,Welbourn,OT,77,317,5.09,30,99,4,97,California
1999,Chris White,Chris,White,DT,75,282,5.23,29,107,7,246,Southern University
1999,Ricky Williams,Ricky,Williams,RB,71,244,4.56,37,124,1,5,Texas
1999,Al Wilson,Al,Wilson,ILB,73,239,4.56,33,116,1,31,Tennessee
1999,Jason Wiltz,Jason,Wiltz,DT,76,308,5.31,27.5,101,4,123,Nebraska
1999,Antoine Winfield,Antoine,Winfield,CB,69,176,4.41,37,122,1,23,Ohio State
1999,Jerry Wisne,Jerry,Wisne,OG,79,306,5.24,28,100,5,143,Notre Dame
1999,Joe Wong,Joe,Wong,OT,78,314,5.68,27,100,7,244,Brigham Young
1999,Damien Woody,Damien,Woody,OC,75,328,5.14,28.5,100,1,17,Boston College
1999,Daren Yancey,Daren,Yancey,DT,78,303,5.13,26.5,97,6,188,Brigham Young
